dataset,group,sample,position,status,delta_mean,valid_grid_points,grid_points,pre_peak_points,post_peak_points,icp_iterations,icp_converged,error
260829_SAM,high,1,6,ok,3.427020134438198e-05,81053.0,85792.0,78149.0,78364.0,34.0,True,
260829_SAM,high,1,7,ok,-0.0001437532849379803,85793.0,85793.0,77581.0,77801.0,21.0,True,
260829_SAM,high,1,8,ok,-8.242397439237367e-05,85795.0,85795.0,78918.0,78831.0,48.0,True,
260829_SAM,blank,8,1,ok,9.231722145213513e-05,85793.0,85793.0,76388.0,76319.0,25.0,True,
260829_SAM,blank,8,2,ok,-0.0005771355353699155,80481.0,85791.0,75939.0,76445.0,49.0,True,
260829_SAM,blank,8,4,ok,-0.0008907879270773053,83007.0,85795.0,77306.0,76298.0,52.0,True,
260829_SAM,blank,8,5,ok,0.0008934181213451161,85792.0,85792.0,77214.0,77106.0,16.0,True,
260829_SAM,blank,8,6,ok,0.0002707368615879434,85804.0,85804.0,79107.0,78378.0,29.0,True,
260829_SAM,blank,8,7,ok,-0.00033985858339175766,85792.0,85792.0,78494.0,78888.0,20.0,True,
260829_SAM,blank,8,8,ok,-0.0003362763360730737,77467.0,85793.0,77422.0,77444.0,24.0,True,
